納品数,販売数,時系列インデックス,タイトル,累積販売数,消化率
0,5147,16,一番くじツイステッドワンダーランド第二弾,415522,0.7851874807492805
0,4253,17,一番くじツイステッドワンダーランド第二弾,419775,0.7932241246709663
0,5626,18,一番くじツイステッドワンダーランド第二弾,425401,0.8038552459273508
0,4672,19,一番くじツイステッドワンダーランド第二弾,430073,0.8126836495017961
0,3086,20,一番くじツイステッドワンダーランド第二弾,433159,0.8185150821710465
0,3267,21,一番くじツイステッドワンダーランド第二弾,436426,0.8246885398931597
0,3353,22,一番くじツイステッドワンダーランド第二弾,439779,0.831024506756412
0,3305,23,一番くじツイステッドワンダーランド第二弾,443084,0.8372697708432146
0,3007,24,一番くじツイステッドワンダーランド第二弾,446091,0.8429519218595581
0,2667,25,一番くじツイステッドワンダーランド第二弾,448758,0.847991594876049
0,3322,26,一番くじツイステッドワンダーランド第二弾,452080,0.8542689828628441
0,2588,27,一番くじツイステッドワンダーランド第二弾,454668,0.8591593742264282
0,2421,28,一番くじツイステッドワンダーランド第二弾,457089,0.863734195513614
0,2267,29,一番くじツイステッドワンダーランド第二弾,459356,0.86801801205969
0,2572,30,一番くじツイステッドワンダーランド第二弾,461928,0.8728781691644574
0,2629,31,一番くじツイステッドワンダーランド第二弾,464557,0.8778460358162589
0,5882,32,一番くじツイステッドワンダーランド第二弾,470439,0.888960905213709
70,2246,33,一番くじツイステッドワンダーランド第二弾,472685,0.8932050392950882
0,2218,34,一番くじツイステッドワンダーランド第二弾,474903,0.8973962634235385
0,1930,35,一番くじツイステッドワンダーランド第二弾,476833,0.9010432708932901
0,1989,36,一番くじツイステッドワンダーランド第二弾,478822,0.9048017671924278
0,1621,37,一番くじツイステッドワンダーランド第二弾,480443,0.9078648755387839
0,1759,38,一番くじツイステッドワンダーランド第二弾,482202,0.9111887543674332
0,1733,39,一番くじツイステッドワンダーランド第二弾,483935,0.9144635025255055
0,1214,40,一番くじツイステッドワンダーランド第二弾,485149,0.9167575269132144
0,1164,41,一番くじツイステッドワンダーランド第二弾,486313,0.9189570692421216
0,920,42,一番くじツイステッドワンダーランド第二弾,487233,0.9206955391240758
0,940,43,一番くじツイステッドワンダーランド第二弾,488173,0.9224718018295506
0,849,44,一番くじツイステッドワンダーランド第二弾,489022,0.924076107188006
0,839,45,一番くじツイステッドワンダーランド第二弾,489861,0.9256615161347012
0,744,46,一番くじツイステッドワンダーランド第二弾,490605,0.9270674091696728
0,635,47,一番くじツイステッドワンダーランド第二弾,491240,0.9282673313164563
0,593,48,一番くじツイステッドワンダーランド第二弾,491833,0.9293878885338464
0,475,49,一番くじツイステッドワンダーランド第二弾,492308,0.9302854680924639
0,560,50,一番くじツイステッドワンダーランド第二弾,492868,0.9313436671510447
0,459,51,一番くじツイステッドワンダーランド第二弾,493327,0.9322110124508457
0,494,52,一番くじツイステッドワンダーランド第二弾,493821,0.933144495191808
0,675,53,一番くじツイステッドワンダーランド第二弾,494496,0.9344200029856331
0,451,54,一番くじツイステッドワンダーランド第二弾,494947,0.9352722311560258
0,431,55,一番くじツイステッドワンダーランド第二弾,495378,0.9360866665028977
0,357,56,一番くじツイステッドワンダーランド第二弾,495735,0.936761268402743
0,285,57,一番くじツイステッドワンダーランド第二弾,496020,0.9372998161379136
0,432,58,一番くじツイステッドワンダーランド第二弾,496452,0.9381161411259616
0,426,59,一番くじツイステッドワンダーランド第二弾,496878,0.9389211282669534
0,0,0,一番くじマクロスＦランカ・リー●,0,0.0
360,14,1,一番くじマクロスＦランカ・リー●,14,0.021021021021021023
306,14,2,一番くじマクロスＦランカ・リー●,28,0.042042042042042045
0,9,3,一番くじマクロスＦランカ・リー●,37,0.05555555555555555
0,4,4,一番くじマクロスＦランカ・リー●,41,0.06156156156156156
0,10,5,一番くじマクロスＦランカ・リー●,51,0.07657657657657657
0,20,6,一番くじマクロスＦランカ・リー●,71,0.1066066066066066
0,24,7,一番くじマクロスＦランカ・リー●,95,0.14264264264264265
0,9,8,一番くじマクロスＦランカ・リー●,104,0.15615615615615616
0,13,9,一番くじマクロスＦランカ・リー●,117,0.17567567567567569
0,4,10,一番くじマクロスＦランカ・リー●,121,0.1816816816816817
0,1,11,一番くじマクロスＦランカ・リー●,122,0.1831831831831832
0,11,12,一番くじマクロスＦランカ・リー●,133,0.1996996996996997
0,1,13,一番くじマクロスＦランカ・リー●,134,0.2012012012012012
0,5,14,一番くじマクロスＦランカ・リー●,139,0.2087087087087087
0,3,15,一番くじマクロスＦランカ・リー●,142,0.2132132132132132
0,2,16,一番くじマクロスＦランカ・リー●,144,0.21621621621621623
0,4,17,一番くじマクロスＦランカ・リー●,148,0.2222222222222222
0,3,18,一番くじマクロスＦランカ・リー●,151,0.22672672672672672
0,1,19,一番くじマクロスＦランカ・リー●,152,0.22822822822822822
0,0,20,一番くじマクロスＦランカ・リー●,152,0.22822822822822822
0,4,21,一番くじマクロスＦランカ・リー●,156,0.23423423423423423
0,2,22,一番くじマクロスＦランカ・リー●,158,0.23723723723723725
0,5,23,一番くじマクロスＦランカ・リー●,163,0.24474474474474475
0,6,24,一番くじマクロスＦランカ・リー●,169,0.25375375375375375
0,0,25,一番くじマクロスＦランカ・リー●,169,0.25375375375375375
0,4,26,一番くじマクロスＦランカ・リー●,173,0.25975975975975973
0,9,27,一番くじマクロスＦランカ・リー●,182,0.2732732732732733
0,0,28,一番くじマクロスＦランカ・リー●,182,0.2732732732732733
0,1,29,一番くじマクロスＦランカ・リー●,183,0.2747747747747748
0,3,30,一番くじマクロスＦランカ・リー●,186,0.27927927927927926
0,6,31,一番くじマクロスＦランカ・リー●,192,0.2882882882882883
0,3,32,一番くじマクロスＦランカ・リー●,195,0.2927927927927928
0,1,33,一番くじマクロスＦランカ・リー●,196,0.29429429429429427
0,1,34,一番くじマクロスＦランカ・リー●,197,0.2957957957957958
0,1,35,一番くじマクロスＦランカ・リー●,198,0.2972972972972973
0,8,36,一番くじマクロスＦランカ・リー●,206,0.30930930930930933
0,2,37,一番くじマクロスＦランカ・リー●,208,0.3123123123123123
0,1,38,一番くじマクロスＦランカ・リー●,209,0.3138138138138138
0,5,39,一番くじマクロスＦランカ・リー●,214,0.3213213213213213
0,2,40,一番くじマクロスＦランカ・リー●,216,0.32432432432432434
0,1,41,一番くじマクロスＦランカ・リー●,217,0.3258258258258258
0,2,42,一番くじマクロスＦランカ・リー●,219,0.32882882882882886
0,0,43,一番くじマクロスＦランカ・リー●,219,0.32882882882882886
0,3,44,一番くじマクロスＦランカ・リー●,222,0.3333333333333333
0,0,45,一番くじマクロスＦランカ・リー●,222,0.3333333333333333
0,1,46,一番くじマクロスＦランカ・リー●,223,0.33483483483483484
0,1,47,一番くじマクロスＦランカ・リー●,224,0.33633633633633636
0,3,48,一番くじマクロスＦランカ・リー●,227,0.3408408408408408
0,6,49,一番くじマクロスＦランカ・リー●,233,0.34984984984984985
0,1,50,一番くじマクロスＦランカ・リー●,234,0.35135135135135137
0,1,51,一番くじマクロスＦランカ・リー●,235,0.35285285285285284
0,14,52,一番くじマクロスＦランカ・リー●,249,0.3738738738738739
0,1,53,一番くじマクロスＦランカ・リー●,250,0.37537537537537535
0,1,54,一番くじマクロスＦランカ・リー●,251,0.3768768768768769
0,10,55,一番くじマクロスＦランカ・リー●,261,0.3918918918918919
0,9,56,一番くじマクロスＦランカ・リー●,270,0.40540540540540543
0,1,57,一番くじマクロスＦランカ・リー●,271,0.4069069069069069
0,0,58,一番くじマクロスＦランカ・リー●,271,0.4069069069069069
0,2,59,一番くじマクロスＦランカ・リー●,273,0.4099099099099099
0,2810,0,一番くじカピバラさんふんわりフラワ～ン,2810,0.003546144041594629
395473,41686,1,一番くじカピバラさんふんわりフラワ～ン,44496,0.05615274920811196
396858,91029,2,一番くじカピバラさんふんわりフラワ～ン,135525,0.17102888656124987
66,80042,3,一番くじカピバラさんふんわりフラワ～ン,215567,0.2720397269090496
0,60260,4,一番くじカピバラさんふんわりフラワ～ン,275827,0.3480862179932106
